Authors	Publication Date	Publisher	Description	Citations
	None	None	None	0
Gao Zhu, Fatih Porikli, Hongdong Li	2016/10/5	None	Abstract: Conventional tracking-by-detection approaches for visual object tracking often assume that the task at hand is a binary foreground-versus-background classification problem where the background is a single, generic, and all-inclusive class. In contrast, here we argue that the background appearance for the most part possesses a more complicated structure that will benefit from further partitioning into multiple contextual clusters. Our observation is that, although the background class is contemplated to contain a vast intra- ...	0
	None	None	None	0
Jingxin Xu, Clinton Fookes, Sridha Sridharan	2016/12/6	None	Abstract: Signal-based Surveillance systems such as Closed Circuits Televisions (CCTV) have been widely installed in public places. Those systems are normally used to find the events with security interest, and play a significant role in public safety. Though such systems are still heavily reliant on human labour to monitor the captured information, there have been a number of automatic techniques proposed to analysing the data. This article provides an overview of automatic surveillance event detection techniques. Despite it's  ...	0
Zifeng Wu, Chunhua Shen, Anton van den Hengel	2016/11/30	None	Abstract: The trend towards increasingly deep neural networks has been driven by a general observation that increasing depth increases the performance of a network. Recently, however, evidence has been amassing that simply increasing depth may not be the best way to increase performance, particularly given other limitations. Investigations into deep residual networks have also suggested that they may not in fact be operating as a single deep network, but rather as an ensemble of many relatively shallow networks. We  ...	14
Qi Wu, Chunhua Shen, Peng Wang, Anthony Dick, Anton van den Hengel	2017	None	Abstract: Much of the recent progress in Vision-to-Language problems has been achieved through a combination of Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs). This approach does not explicitly represent high-level semantic concepts, but rather seeks to progress directly from image features to text. In this paper we first propose a method of incorporating high-level concepts into the successful CNN-RNN approach, and show that it achieves a significant improvement on the state-of-the-art in  ...	12
Peng Wang, Qi Wu, Chunhua Shen, Anton van den Hengel	2017	None	Abstract: One of the most intriguing features of the Visual Question Answering (VQA) challenge is the unpredictability of the questions. Extracting the information required to answer them demands a variety of image operations from detection and counting, to segmentation and reconstruction. To train a method to perform even one of these operations accurately from {image, question, answer} tuples would be challenging, but to aim to achieve them all with a limited set of such training data seems ambitious at best. We  ...	1
Peng Wang, Lingqiao Liu, Chunhua Shen, Zi Huang, Anton van den Hengel, Heng Tao Shen	2016	None	Abstract This paper studies the challenging problem of identifying unusual instances of known objects in images within an" open world" setting. That is, we aim to find objects that are members of a known class, but which are not typical of that class. Thus the" unusual object" should be distinguished from both the" regular object" and the" other objects". Such unusual objects may be of interest in many applications such as surveillance or quality control. We propose to identify unusual objects by inspecting the distribution of object  ...	2
Dorian Tsai, Donald G Dansereau, Steve Martin, Peter Corke	2016/12/16	None	Abstract: This paper proposes the design of a custom mirror-based light field camera adapter that is cheap, simple in construction, and accessible. Mirrors of different shape and orientation reflect the scene into an upwards-facing camera to create an array of virtual cameras with overlapping field of view at specified depths, and deliver video frame rate light fields. We describe the design, construction, decoding and calibration processes of our mirror-based light field camera adapter in preparation for an open-source release to  ...	1
Damien Teney, Lingqiao Liu, Anton van den Hengel	2016/9/19	None	Abstract: This paper proposes to improve visual question answering (VQA) with structured representations of both scene contents and questions. A key challenge in VQA is to require joint reasoning over the visual and text domains. The predominant CNN/LSTM-based approach to VQA is limited by monolithic vector representations that largely ignore structure in the scene and in the form of the question. CNN feature vectors cannot effectively capture situations as simple as multiple object instances, and LSTMs process questions as series  ...	4
Niko Sünderhauf, Trung T Pham, Yasir Latif, Michael Milford, Ian Reid	2016/9/26	None	Abstract: For intelligent robots to interact in deeply meaningful ways with their environment, they must understand both the geometric and semantic properties of the scene surrounding them. The majority of research to date has addressed these mapping challenges separately, focusing on either geometric or semantic mapping. In this paper we address the problem of building environmental maps that include both semantically meaningful, object-level entities and point-or mesh-based geometrical representations. We simultaneously build geometric  ...	1
Seyed Hamid Rezatofighi, Anton Milan, Ehsan Abbasnejad, Anthony Dick, Ian Reid	2016/11/28	None	Abstract: This paper addresses the task of set prediction using deep learning. This is important because the output of many computer vision tasks, including image tagging and object detection, are naturally expressed as sets of entities rather than vectors. As opposed to a vector, the size of a set is not fixed in advance, and it is invariant to the ordering of entities within it. We define a likelihood for a set distribution and learn its parameters using a deep neural network. We also derive a loss for predicting a discrete distribution  ...	0
Pulak Purkait, Tat-Jun Chin, Alireza Sadri, David Suter	2016/10/4	None	Abstract: The extension of conventional clustering to hypergraph clustering, which involves higher order similarities instead of pairwise similarities, is increasingly gaining attention in computer vision. This is due to the fact that many clustering problems require an affinity measure that must involve a subset of data of size more than two. In the context of hypergraph clustering, the calculation of such higher order similarities on data subsets gives rise to hyperedges. Almost all previous work on hypergraph clustering in computer vision,  ...	14
Anton Milan, Laura Leal-Taixé, Ian Reid, Stefan Roth, Konrad Schindler	2016/3/2	None	Abstract: Standardized benchmarks are crucial for the majority of computer vision applications. Although leaderboards and ranking tables should not be over-claimed, benchmarks often provide the most objective measure of performance and are therefore important guides for reseach. Recently, a new benchmark for Multiple Object Tracking, MOTChallenge, was launched with the goal of collecting existing and new data and creating a framework for the standardized evaluation of multiple object tracking methods. The first  ...	44
	None	None	None	0
Guosheng Lin, Chunhua Shen, Anton van den Hengel, Ian Reid	2017	None	Abstract: We propose an approach for exploiting contextual information in semantic image segmentation, and particularly investigate the use of patch-patch context and patch-background context in deep CNNs. We formulate deep structured models by combining CNNs and Conditional Random Fields (CRFs) for learning the patch-patch context between image regions. Specifically, we formulate CNN-based pairwise potential functions to capture semantic correlations between neighboring patches. Efficient piecewise training of the  ...	13
Guosheng Lin, Anton Milan, Chunhua Shen, Ian Reid	2017	None	None	14
Yao Li, Guosheng Lin, Bohan Zhuang, Lingqiao Liu, Chunhua Shen, Anton van den Hengel	2017	None	Abstract: Recognizing the identities of people in everyday photos is still a very challenging problem for machine vision, due to non-frontal faces, changes in clothing, location, lighting and similar. Recent studies have shown that rich relational information between people in the same photo can help in recognizing their identities. In this work, we propose to model the relational information between people as a sequence prediction task. At the core of our work is a novel recurrent network architecture, in which relational information between  ...	1
Jürgen Leitner, Adam W Tow, Jake E Dean, Niko Suenderhauf, Joseph W Durham, Matthew Cooper, Markus Eich, Christopher Lehnert, Ruben Mangels, Christopher McCool, Peter Kujala, Lachlan Nicholson, Trung Pham, James Sergeant, Fangyi Zhang, Ben Upcroft, Peter Corke	2016/9/17	None	Abstract: Robotic challenges like the Amazon Picking Challenge (APC) or the DARPA Challenges are an established and important way to drive scientific progress as they make research comparable on a well-defined benchmark with equal test conditions for all participants. However, such challenge events occur only occasionally, are limited to a small number of contestants, and the test conditions are very difficult to replicate after the main event. We present a new physical benchmark challenge for robotic picking. The ACRV  ...	1
Mehrtash Harandi, Mathieu Salzmann, Richard Hartley	2017/1/18	None	Abstract: Representing images and videos with Symmetric Positive Definite (SPD) matrices, and considering the Riemannian geometry of the resulting space, has been shown to yield high discriminative power in many visual recognition tasks. Unfortunately, computation on the Riemannian manifold of SPD matrices–especially of high-dimensional ones–comes at a high cost that limits the applicability of existing techniques. In this paper, we introduce algorithms able to handle high-dimensional SPD matrices by constructing a lower- ...	6
Mehrtash Harandi, Basura Fernando	2016/11/17	None	Abstract: This paper introduces an extension of the backpropagation algorithm that enables us to have layers with constrained weights in a deep network. In particular, we make use of the Riemannian geometry and optimization techniques on matrix manifolds to step outside of normal practice in training deep networks, equipping the network with structures such as orthogonality or positive definiteness. Based on our development, we make another contribution by introducing the Stiefel layer, a layer with orthogonal weights. Among  ...	3
Stephen Gould, Basura Fernando, Anoop Cherian, Peter Anderson, Rodrigo Santa Cruz, Edison Guo	2016/7/19	None	Abstract: Some recent works in machine learning and computer vision involve the solution of a bi-level optimization problem. Here the solution of a parameterized lower-level problem binds variables that appear in the objective of an upper-level problem. The lower-level problem typically appears as an argmin or argmax optimization problem. Many techniques have been proposed to solve bi-level optimization problems, including gradient descent, which is popular with current end-to-end learning approaches. In this technical report we  ...	5
Basura Fernando, Sareh Shirazi, Stephen Gould	2016/12/2	None	Abstract: We propose a new task of unsupervised action detection by action matching. Given two long videos, the objective is to temporally detect all pairs of matching video segments. A pair of video segments are matched if they share the same human action. The task is category independent---it does not matter what action is being performed---and no supervision is used to discover such video segments. Unsupervised action detection by action matching allows us to align videos in a meaningful manner. As such, it can be used  ...	0
Basura Fernando, Efstratios Gavves, José Oramas, Amir Ghodrati, Tinne Tuytelaars	2017/4/1	None	Abstract: We propose a function-based temporal pooling method that captures the latent structure of the video sequence data-eg, how frame-level features evolve over time in a video. We show how the parameters of a function that has been fit to the video data can serve as a robust new video representation. As a specific example, we learn a pooling function via ranking machines. By learning to rank the frame-level features of a video in chronological order, we obtain a new representation that captures the video-wide  ...	30
Basura Fernando, Hakan Bilen, Efstratios Gavves, Stephen Gould	2016/11/21	None	Abstract: We propose a new self-supervised CNN pre-training technique based on a novel auxiliary task called" odd-one-out learning". In this task, the machine is asked to identify the unrelated or odd element from a set of otherwise related elements. We apply this technique to self-supervised video representation learning where we sample subsequences from videos and ask the network to learn to predict the odd video subsequence. The odd video subsequence is sampled such that it has wrong temporal order of frames while the even  ...	5
Markus Eich, Sareh Shirazi, Gordon Wyeth	2016/10/18	None	Abstract: To have a robot actively supporting a human during a collaborative task, it is crucial that robots are able to identify the current action in order to predict the next one. Common approaches make use of high-level knowledge, such as object affordances, semantics or understanding of actions in terms of pre-and post-conditions. These approaches often require hand-coded a priori knowledge, time-and resource-intensive or supervised learning techniques. We propose to reframe this problem as an appearance-based place  ...	0
	None	None	None	0
Yuanzhouhan Cao, Chunhua Shen, Heng Tao Shen	2016/10/6	None	Abstract: Augmenting RGB data with measured depth has been shown to improve the performance of a range of tasks in computer vision, including object detection and semantic segmentation. Although depth sensors such as the Microsoft Kinect have facilitated easy acquisition of such depth information, the vast majority of images used in vision tasks do not contain depth information. In this paper, we show that augmenting RGB images with estimated depth can also improve the accuracy of both object detection and semantic  ...	0
Moses Bangura, Marco Melega, Roberto Naldi, Robert Mahony	2016/1/5	None	Abstract: In this report, we present the theory on aerodynamics of quadrotors using the well established momentum and blade element theories. From a robotics perspective, the theoretical development of the models for thrust and horizontal forces and torque (therefore power) are carried out in the body fixed frame of the quadrotor. Using momentum theory, we propose and model the existence of a horizontal force along with its associated power. Given the limitations associated with momentum theory and the inadequacy of the theory  ...	5
Peter Anderson, Basura Fernando, Mark Johnson, Stephen Gould	2017	None	Abstract: Existing image captioning models do not generalize well to out-of-domain images containing novel scenes or objects. This limitation severely hinders the use of these models in real world applications dealing with images in the wild. We address this problem using a flexible approach that enables existing deep captioning architectures to take advantage of image taggers at test time, without re-training. Our method uses constrained beam search to force the inclusion of selected tag words in the output, and fixed, pretrained word  ...	1
Mohammad Sadegh Aliakbarian, Fatemehsadat Saleh, Basura Fernando, Mathieu Salzmann, Lars Petersson, Lars Andersson	2016/11/17	None	Abstract: Action recognition and anticipation are key to the success of many computer vision applications. Existing methods can roughly be grouped into those that extract global, context-aware representations of the entire image or sequence, and those that aim at focusing on the regions where the action occurs. While the former may suffer from the fact that context is not always reliable, the latter completely ignore this source of information, which can nonetheless be helpful in many situations. In this paper, we aim at making the best of both  ...	1
Juan David Adarve, Robert Mahony	2017/4	None	Abstract: This letter introduces the “spherepix” data structure for efficient implementation of low-level image processing operations on spherical images. Efficient implementation of low-level image processing depends heavily on separability of the convolution kernels that form the fundamental building blocks of most algorithms. Due to the curvature of the sphere, it is not possible to place an orthogonal grid pixelation globally on its surface, making direct application of classical separable kernel convolutions impossible. In the spherepix data  ...	0
