Authors	Publication Date	Publisher	Description	Citations
Fangyi Zhang, Jürgen Leitner, Michael Milford, Ben Upcroft, Peter Corke	2015	None	Abstract: This paper introduces a machine learning based system for controlling a robotic manipulator with visual perception only. The capability to autonomously learn robot controllers solely from raw-pixel images and without any prior knowledge of configuration is shown for the first time. We build upon the success of recent deep reinforcement learning and develop a system for learning target reaching with a three-joint robot manipulator using external visual observation. A Deep Q Network (DQN) was demonstrated to perform target  ...	24
Josh Weberruss, Lindsay Kleeman, Tom Drummond	2015/12	None	Abstract The ORB (Oriented FAST (Features from Accelerated Segment Test) and Rotated BRIEF (Binary Robust Independent Elementary Features)) feature extractor is the state of the art in wide baseline matching with sparse image features for robotic vision. All previous implementations have employed general-purpose computing hardware, such as CPUs and GPUs. This work seeks to investigate the applicability of special-purpose computing hardware, in the form of Field-Programmable Gate Arrays (FPGAs), to the acceleration of  ...	2
Xiaoqin Wang, Y Ahmet Şekercioğlu, Tom Drummond	2015/4/19	None	Abstract: We consider the self-calibration problem (estimation of location and orientation of multiple camera sensors), in visual sensor networks equipped with RGB-D cameras. We propose two algorithms based on feature matching and relative pose estimation. First one uses Floyd-Warshall algorithm, and can accurately estimate the camera locations. On the other hand, the second algorithm is more scalable than the first one, and can be used in large networks if high accuracy is not an issue. Numerical results demonstrate that both  ...	0
Peng Wang, Chunhua Shen, Anton van den Hengel	2015	None	Abstract Conditional Random Fields (CRFs) are one of the core technologies in computer vision, and have been applied on a wide variety of tasks. Conventional CRFs typically define edges between neighboring image pixels, resulting in a sparse graph over which inference can be performed efficiently. However, these CRFs fail to model more complex priors such as long-range contextual relationships. Fully-connected CRFs have thus been proposed. While there are efficient approximate inference methods for such CRFs, usually they are  ...	11
Niko Sünderhauf, Ben Upcroft, Michael Milford	2015	None	Abstract We propose a novel mathematical formulation for the holistic scene understanding problem and transform it from the discrete into the continuous domain. The problem can then be modeled with a nonlinear continuous factor graph, and the MAP solution is found via least squares optimization. We evaluate our method on the realistic NYU2 dataset.	1
Niko Sünderhauf, Feras Dayoub, Sareh Shirazi, Ben Upcroft, Michael Milford	2015	None	Abstract: After the incredible success of deep learning in the computer vision domain, there has been much interest in applying Convolutional Network (ConvNet) features in robotic fields such as visual navigation and SLAM. Unfortunately, there are fundamental differences and challenges involved. Computer vision datasets are very different in character to robotic camera data, real-time performance is essential, and performance priorities can be different. This paper comprehensively evaluates and compares the utility of three state-of-the-art  ...	61
Niko Sünderhauf, Feras Dayoub, Sean McMahon, Markus Eich, Ben Upcroft, Michael Milford	2015	None	None	0
Andrew Spek, Wai Ho Li, Tom Drummond	2017/7/3	None	Abstract: Estimation of surface curvature from range data is important for a range of tasks in computer vision and robotics, object segmentation, object recognition and robotic grasping estimation. This work presents a fast method of robustly computing accurate metric principal curvature values from noisy point clouds which was implemented on GPU. In contrast to existing readily available solutions which first differentiate the surface to estimate surface normals and then differentiate these to obtain curvature, amplifying noise, our method  ...	3
Hajar Sadeghi Sokeh, Stephen Gould, Jochen Renz	2014	None	Abstract Understanding the activities taking place in a video is a challenging problem in Artificial Intelligence. Complex video sequences contain many activities and involve a multitude of interacting objects. Determining which objects are relevant to a particular activity is the first step in understanding the activity. Indeed many objects in the scene are irrelevant to the main activity taking place. In this work, we consider human-centric activities and look to identify which objects in the scene are involved in the activity. We take an activity- ...	0
James Sergeant, Niko Sünderhauf, Michael Milford, Ben Upcroft	2015	None	Abstract Robot navigation systems are typically engineered to suit certain platforms, sensing suites and environment types. In order to deploy a robot in an environment where its existing navigation system is insufficient, the system must be modified manually, often at significant cost. In this paper we address this problem, proposing a system based on multimodal deep autoencoders that enables a robot to learn how to navigate by observing a dataset of sensor input and motor commands collected while being teleoperated by a human. Low-level  ...	3
Marta Salas, Yasir Latif, Ian D Reid, JMM Montiel	None	None	None	0
Fahimeh Rezazadegan, Sareh Shirazi, Niko Sünderhauf, Michael Milford, Ben Upcroft	2015	None	Deep convolutional network models have dominated recent work in human action recognition as well as image classification. However, these methods are often unduly influenced by the image background, learning and exploiting the presence of cues in typical computer vision datasets. For unbiased robotics applications, the degree of variation and novelty in action backgrounds is far greater than in computer vision datasets. To address this challenge, we propose an “action region proposal” method that, informed by optical flow,  ...	3
Fahimeh Rezazadegan, Sareh Shirazi, Michael Milford, Ben Upcroft	2015	None	Abstract: Object detection is a fundamental task in many computer vision applications, therefore the importance of evaluating the quality of object detection is well acknowledged in this domain. This process gives insight into the capabilities of methods in handling environmental changes. In this paper, a new method for object detection is introduced that combines the Selective Search and EdgeBoxes. We tested these three methods under environmental variations. Our experiments demonstrate the outperformance of the  ...	2
Lukáš Polok, Vincent Lui, Viorela Ila, Tom Drummond, Robert Mahony	2015	None	None	0
Trung T Pham, Ian Reid, Yasir Latif, Stephen Gould	2015	None	Abstract This paper addresses the problem of semantic segmentation of 3D indoor scenes reconstructed from RGB-D images. Traditionally label prediction for 3D points is tackled by employing graphical models that capture scene features and complex relations between different class labels. However, the existing work is restricted to pairwise conditional random fields, which are insufficient when encoding rich scene context. In this work we propose models with higher-order potentials to describe complex relational information from the 3D  ...	4
Edward Pepperell, Peter Corke, Michael Milford	2015/5/27	None	Abstract: Robustness to variations in environmental conditions and camera viewpoint is essential for long-term place recognition, navigation and SLAM. Existing systems typically solve either of these problems, but invariance to both remains a challenge. This paper presents a training-free approach to lateral viewpoint-and condition-invariant, vision-based place recognition. Our successive frame patch-tracking technique infers average scene depth along traverses and automatically rescales views of the same place at different  ...	7
Sakrapee Paisitkriangkrai, Jamie Sherrah, Pranam Janney, Van-Den Hengel	2015	None	Abstract Large amounts of available training data and increasing computing power have led to the recent success of deep convolutional neural networks (CNN) on a large number of applications. In this paper, we propose an effective semantic pixel labelling using CNN features, hand-crafted features and Conditional Random Fields (CRFs). Both CNN and hand-crafted features are applied to dense image patches to produce per-pixel class probabilities. The CRF infers a labelling that smooths regions while respecting the edges present in the  ...	37
Kyel Ok, Dinesh Gamage, Tom Drummond, Frank Dellaert, Nicholas Roy	2015/5/26	None	Abstract: We propose a method of monocular camera-inertial based navigation for computationally limited micro air vehicles (MAVs). Our approach is derived from the recent development of parallel tracking and mapping algorithms, but unlike previous results, we show how the tracking and mapping processes operate using different representations. The separation of representations allows us not only to move the computational load of full map inference to a ground station, but to further reduce the computational cost of on-board  ...	2
Michael Milford, Chunhua Shen, Stephanie Lowry, Niko Suenderhauf, Sareh Shirazi, Guosheng Lin, Fayao Liu, Edward Pepperell, Cesar Lerma, Ben Upcroft, Ian Reid	2015	None	Abstract Vision-based localization on robots and vehicles remains unsolved when extreme appearance change and viewpoint change are present simultaneously. The current state of the art approaches to this challenge either deal with only one of these two problems; for example FAB-MAP (viewpoint invariance) or SeqSLAM (appearance-invariance), or use extensive training within the test environment, an impractical requirement in many application scenarios. In this paper we significantly improve the viewpoint invariance of  ...	12
Sean McMahon, Niko Sünderhauf, Ben Upcroft, Michael Milford	2015/6	None	Abstract Image region proposals are now commonly placed with the current object detection algorithms to provide an efficient technique to locate object regions. The image region proposal algorithm, Edge Boxes [7] is evaluated on the NYU2 dataset [4] and compared with the optimal parameters from a random parameter search. Edge Boxes performance in the cluttered, low resolution images of the NYU2 dataset, commonly encountered in robotics is shown. While comparisons between region proposals has been performed, few have  ...	4
